id,title_romaji,title_english,isAdult,split
2633,The☆Doraemons: Dokidoki Kikansha Daibakusou!,The Doraemons: Dokidoki Wildcat Engine,False,train
5663,G.T.R G-cup Teacher Rei,G.T.R G-cup Teacher Rei,True,train
9341,Try Z,Try Z,True,train
9451,Sore Ike! Anpanman: Ningyo Hime no Namida,Sore Ike! Anpanman: Ningyo Hime no Namida,False,train
9507,Binetsu: Yakusoku no Toki,Binetsu: Yakusoku no Toki,True,train
112006,Sore Ike! Anpanman: Yakisobapanman to Black Sabotenman,Sore Ike! Anpanman: Yakisobapanman to Black Sabotenman,False,train
121828,Sore Ike! Anpanman: Outa to Teasobi Tanoshii ne,Sore Ike! Anpanman: Outa to Teasobi Tanoshii ne,False,train
132938,The Gregory Gallery Tour,The Gregory Gallery Tour,False,train
169890,Feifei De Hangye,Feifei De Hangye,False,train
208828,Katakana Kantan!,Katakana Kantan!,False,train
2353,Daiakuji: The Xena Buster Specials,Daiakuji: The Xena Buster Specials,True,train
2645,Dorami & Doraemons: Space Land Kiki Ippatsu!,Dorami & Doraemons: Space Land's Critical Event!,False,train
2653,Doraemon: Ganbare! Gian!!,Doraemon: Ganbare! Gian!!,False,train
2741,Monkey Turn V,Monkey Turn V,False,train
3669,Duel Masters Movie 1: Yami no Shiro no Maryuuou,Duel Masters Movie 1: Yami no Shiro no Maryuuou,False,train
4497,Kijutsushi x Majutsushi: Osaka Tanteibu no Jikenbo,Kijutsushi x Majutsushi: Osaka Tanteibu no Jikenbo,True,train
4717,Chijoku Kankin,Chijoku Kankin,True,train
5154,Kanzen Mushusei: Sorezore no Houkago,Kanzen Mushusei: Sorezore no Houkago,True,train
5547,Kateikyoushi Bishounen Kari,Kateikyoushi Bishounen Kari,True,train
5550,Fujun Isei Kouyuu: Taisetsu na Kimi e,Fujun Isei Kouyuu: Taisetsu na Kimi e,True,train
5551,Shirouto Kurabu,Shirouto Kurabu,True,train
5552,Rebiya,Rebiya,True,train
5555,Suishou no Yoru: Aoi Kokuhaku yori,Suishou no Yoru: Aoi Kokuhaku yori,True,train
5556,Moonlight Sonata,Moonlight Sonata,True,train
5557,Kugutsu Ai: Doura Gaiden,Kugutsu Ai: Doura Gaiden,True,train
5559,Nijuusou: Wana ni Ochita Onnatachi,Nijuusou: Wana ni Ochita Onnatachi,True,train
5560,Aoi Kokuhaku,Aoi Kokuhaku,True,train
5586,Aoi Yousei,Aoi Yousei,True,train
5605,CONCERTO,CONCERTO,True,train
5607,Love Machine: Animaid Shoufu 23-gou,Love Machine: Animaid Shoufu 23-gou,True,train
5608,Onna Kyoushi: Nikutai Jugyou,Onna Kyoushi: Nikutai Jugyou,True,train
5687,Doura,Doura,True,train
7154,SM no Susume,SM no Susume,True,train
7525,Kick Off 2002,Kick Off 2002,False,train
9325,Shin Seiki Cream Lemon,Shin Seiki Cream Lemon,True,train
9352,Tenshi no Habataki JUN,Tenshi no Habataki JUN,True,train
10139,21 Seiki Manga Hajimete Monogatari,21 Seiki Manga Hajimete Monogatari,False,train
10239,Mayutoro THE TOONS,Mayutoro THE TOONS,False,train
10242,Ton-Ton Atta to Niigata no Mukashi Banashi,Ton-Ton Atta to Niigata no Mukashi Banashi,False,train
10989,Stray Sheep Poe no Chicchana Daibouken,Stray Sheep Poe no Chicchana Daibouken,False,train
12551,Jisshuusei,Jisshuusei,True,train
12809,Wonder Bebil-kun,Wonder Bebil-kun,False,train
17427,Sabaku no Takara no Shiro,The Treasures of the Desert,False,train
18475,Kagayake! Yuujou no V Sign,Kagayake! Yuujou no V Sign,False,train
103176,Feng Ji Yun Nu,Feng Ji Yun Nu,False,train
108745,Akuei to Gacchinpo: Tenkomori,Akuei to Gacchinpo: Tenkomori,False,train
119764,Toki: Kono Hoshi no Mirai wo Mitsumete,Toki: Kono Hoshi no Mirai wo Mitsumete,False,train
119982,Collector,Collector,True,train
121837,Sore Ike! Anpanman: Gomira no Hoshi,Sore Ike! Anpanman: Gomira no Hoshi,False,train
129381,Baobei Nüer Hao Mama,Baobei Nüer Hao Mama,False,train
129494,Dongfang Shenwa,Dongfang Shenwa,False,train
150114,MOMONGA-MON,MOMONGA-MON,False,train
154075,Kuru Kuru Ammy,Kuru Kuru Ammy,False,train
171928,Sore Ike! Anpanman: Tsukiko to Shiratama - Tokimeki Dancing,Sore Ike! Anpanman: Tsukiko to Shiratama - Tokimeki Dancing,False,train
174124,Sore Ike! Anpanman: Yumeneko no Kuni no Nyanii,Sore Ike! Anpanman: Yumeneko no Kuni no Nyanii,False,train
177467,Klonoa Heroes: Densetsu no Star Medal,Klonoa Heroes: Densetsu no Star Medal,False,train
180821,Sushi Azarashi,Sushi Azarashi,False,train
181865,Rusuden Hour: Sodan Brothers,Rusuden Hour: Sodan Brothers,False,train
193472,Tian Jiang Xiaozi,Tian Jiang Xiaozi,False,train
200376,"Sayonara, Midori ga Ike: Tobe! Tako Glider!!","Sayonara, Midori ga Ike: Tobe! Tako Glider!!",False,train
203024,Tianshang Diao Xia Ge Zhu Bajie,Tianshang Diao Xia Ge Zhu Bajie,False,train
205618,Narara Superboard 5,Narara Superboard 5,False,train
2173,Kouchuu Ouja Mushiking Super Battle Movie: Yami no Kaizou Kouchuu,Kouchuu Ouja Mushiking Super Battle Movie: Yami no Kaizou Kouchuu,False,train
2930,Tensai? Dr. Hamax,Tensai? Dr. Hamax,False,train
3243,Elec-king The Animation,Elec-king The Animation,False,train
6518,Eiga de Toujou! Tamagotchi Doki Doki! Uchuu no Maigotchi!?,Tamagotchi: The Movie,False,train
10525,Shinseiki Duel Masters Flash,Shinseiki Duel Masters Flash,False,train
11521,Hello Kitty: Ringo no Mori no Fantasy,Hello Kitty: Ringo no Mori no Fantasy,False,train
116046,Nanami-chan 4,Nanami-chan 4,False,train
121071,Susume! Dokan-kun,Susume! Dokan-kun,False,train
121826,Sore Ike! Anpanman: Horrorman to Hora Horako,Sore Ike! Anpanman: Horrorman to Hora Horako,False,train
124449,Hong Mao Lan Tu: A Muxing,Hong Mao Lan Tu: A Muxing,False,train
129272,Shenbing Xiaojiang,Shenbing Xiaojiang,False,train
129278,Shen Chu Xiao Fugui,Shen Chu Xiao Fugui,False,train
129354,Laodai He Xiaodai,Laodai He Xiaodai,False,train
129465,Yincha's Gongfu Xueyuan,Yincha's Gongfu Xueyuan,False,train
129474,Hapi Fu Zi,Hapi Fu Zi,False,train
129867,Happy Seven: The TV Manga - Chibi Chara Moshimo Gekijou,Happy Seven: The TV Manga - Chibi Chara Moshimo Gekijou,False,train
132350,Tori GO! GO!,Tori GO! GO!,False,train
171760,Sore Ike! Anpanman: Kokin-chan to Aoi Namida,Sore Ike! Anpanman: Kokin-chan to Aoi Namida,False,train
171762,Sore Ike! Anpanman: Kokin-chan to Namida no Christmas,Sore Ike! Anpanman: Kokin-chan to Namida no Christmas,False,train
6062,Duel Masters Movie 2: Lunatic God Saga,Duel Masters Movie 2: Lunatic God Saga,False,train
6517,Eiga! Tamagotchi Uchuu Ichi Happy na Monogatari!?,Eiga! Tamagotchi Uchuu Ichi Happy na Monogatari!?,False,train
6687,Chinyuuki: Tarou to Yukai na Nakama-tachi,Chinyuuki: Tarou to Yukai na Nakama-tachi,False,train
17102,Lolling Seutajeu,Rolling Stars,False,train
18577,Noobow: Mini Theater,Noobow: Mini Theater,False,train
108057,Ganbare Memeko-chan,Ganbare Memeko-chan,False,train
116039,Sore Ike! Anpanman: Yousei Rinrin no Himitsu,Anpanman: The Secret of Fairy Rin-Rin,False,train
116048,Nanami-chan 5,Nanami-chan 5,False,train
116050,Nanami-chan 6,Nanami-chan 6,False,train
121072,Tatakae! Dokan-kun: Gekitou-kun,Tatakae! Dokan-kun: Gekitou-kun,False,train
121074,Tatakae! Dokan-kun: Robolympic-hen,Tatakae! Dokan-kun: Robolympic-hen,False,train
121840,Sore Ike! Anpanman: Hiya Hiya Hiyariko to Babu Babu Baikinman,Sore Ike! Anpanman: Hiya Hiya Hiyariko to Babu Babu Baikinman,False,train
122183,Yonimo Kimyou na Man☆Gatarou,Yonimo Kimyou na Man☆Gatarou,False,train
