id,title_romaji,description,description_source
2633,The☆Doraemons: Dokidoki Kikansha Daibakusou!,,not_found
5663,G.T.R G-cup Teacher Rei,,not_found
9341,Try Z,"No synopsis has been added for this series yet.

Click here to update this information.",jikan_mal
9451,Sore Ike! Anpanman: Ningyo Hime no Namida,12th Anpanman short movie.,jikan_mal
9507,Binetsu: Yakusoku no Toki,"No synopsis has been added for this series yet.

Click here to update this information.",jikan_mal
112006,Sore Ike! Anpanman: Yakisobapanman to Black Sabotenman,,not_found
121828,Sore Ike! Anpanman: Outa to Teasobi Tanoshii ne,,not_found
132938,The Gregory Gallery Tour,"Three unbroadcasted exclusive Special shorts of Gregory Horror Show (presented as bonus videos on the first series DVDs volumes 1-3 in Japan only), containing stories featuring Gregory himself as a guide, giving his commentary and thoughts on each of the guests in the hotel, also displaying paintings based around the said guests.

(Source: Wikipedia)",jikan_mal
169890,Feifei De Hangye,,not_found
208828,Katakana Kantan!,,not_found
2353,Daiakuji: The Xena Buster Specials,Specials of the Daiakuji: The Xena Buster series.,jikan_mal
2645,Dorami & Doraemons: Space Land Kiki Ippatsu!,,not_found
2653,Doraemon: Ganbare! Gian!!,,not_found
2741,Monkey Turn V,Sequel to Monkey Turn.,jikan_mal
3669,Duel Masters Movie 1: Yami no Shiro no Maryuuou,,not_found
4497,Kijutsushi x Majutsushi: Osaka Tanteibu no Jikenbo,"No synopsis has been added for this series yet.

Click here to update this information.",jikan_mal
4717,Chijoku Kankin,Nurse hentai.,jikan_mal
5154,Kanzen Mushusei: Sorezore no Houkago,Four friends at school. Three of them get caught up in having sex with older men. Two of them prostitute themselves to a middle-aged man while the other girl is caught masturbating at her teacher's desk. Do these girls really know what they've getting themselves into?,jikan_mal
5547,Kateikyoushi Bishounen Kari,"No synopsis has been added for this series yet.

Click here to update this information.",jikan_mal
5550,Fujun Isei Kouyuu: Taisetsu na Kimi e,,not_found
5551,Shirouto Kurabu,,not_found
5552,Rebiya,"Duke Maerck cuts a deal with an ancient Japanese sex demon named Rebiya. Now, 200 years after that fateful pact was sealed, Rebiya continues to feed into the dark hungers of hatred, revenge and lust that lay in the primordial soul of all mankind. 

[Written by watashiwaren]",jikan_mal
5555,Suishou no Yoru: Aoi Kokuhaku yori,,not_found
5556,Moonlight Sonata,,not_found
5557,Kugutsu Ai: Doura Gaiden,,not_found
5559,Nijuusou: Wana ni Ochita Onnatachi,,not_found
5560,Aoi Kokuhaku,,not_found
5586,Aoi Yousei,,not_found
5605,CONCERTO,A teacher uses rather unconventional methods to train his pupils.,jikan_mal
5607,Love Machine: Animaid Shoufu 23-gou,,not_found
5608,Onna Kyoushi: Nikutai Jugyou,,not_found
5687,Doura,,not_found
7154,SM no Susume,,not_found
7525,Kick Off 2002,"A soccer animation produced for the 2002 FIFA World Cup co-hosted by Korea and Japan.

The main characters are two young men, a Japanese playmaker and a Korean striker. Friendship with teammates, their growth as soccer players, etc. are drawn.

(Source: Wikipedia)",jikan_mal
9325,Shin Seiki Cream Lemon,"Tomoe's parents sent her to be re-educated in a strict Catholic school. The night she decides to run away from there, she meets high school student Rie. Rie persuades her to stay. After meeting Rie, Tomoe dreams of being abused by her. Will Tomoe's dream come true?

(Source: Aki-h)",jikan_mal
9352,Tenshi no Habataki JUN,,not_found
10139,21 Seiki Manga Hajimete Monogatari,,not_found
10239,Mayutoro THE TOONS,"No synopsis has been added for this series yet.

Click here to update this information.",jikan_mal
10242,Ton-Ton Atta to Niigata no Mukashi Banashi,,not_found
10989,Stray Sheep Poe no Chicchana Daibouken,"Stray Sheep is based on the tales of Poe, a naive, independent and curious ram who finds himself sleepwalking into the most unpredictable situations on his path to reuniting with his herd and finding the ""ewe"" of his dreams.

(Source: ANN)",jikan_mal
12551,Jisshuusei,,not_found
12809,Wonder Bebil-kun,"No synopsis has been added for this series yet.

Click here to update this information.",jikan_mal
17427,Sabaku no Takara no Shiro,"Yuta's teacher gives him a photo of the desert near the Dunhuang Caves in China. As Yuta daydreams about finding the treasures of the caves, he is miraculously transported there. However, the treasures he discovers are way beyond what he had imagined.",jikan_mal
18475,Kagayake! Yuujou no V Sign,,not_found
103176,Feng Ji Yun Nu,"2002 OVA adaptation of Storm Riders manhua. Features Cloud, Wind, and Wave characters.",jikan_mal
108745,Akuei to Gacchinpo: Tenkomori,A sequel of Akuei to Gacchinpo series.,jikan_mal
119764,Toki: Kono Hoshi no Mirai wo Mitsumete,,not_found
119982,Collector,"The internet is full of creepypastas, cryptid sightings, tales of paranormal activity, and unsolved disappearances. These are mostly rumors and pranks fueled by trolls—entertainment. But the unlucky few learn the hard way that some legends are true. Many of these unfortunate souls are doomed, but their luck may change if they cross paths with the boy in the red hood. He roams from town to town and appears wherever strange things occur. Is he a light in the dark? Or living proof that monsters are all too real...?

(Source: Yen Press)",jikan_mal
121837,Sore Ike! Anpanman: Gomira no Hoshi,,not_found
129381,Baobei Nüer Hao Mama,,not_found
129494,Dongfang Shenwa,,not_found
150114,MOMONGA-MON,Stop-motion animation about a mysterious creature Mont-chan from an unknown world looking for an adventure.,jikan_mal
154075,Kuru Kuru Ammy,"Izayoi, Asuka, and You have been invited to participate in a Gift-Game at a hot spring village to help the small community there find a new water source.

OVA bundled with the eighth volume of the light novel.",jikan_mal
171928,Sore Ike! Anpanman: Tsukiko to Shiratama - Tokimeki Dancing,,not_found
174124,Sore Ike! Anpanman: Yumeneko no Kuni no Nyanii,"When a comet that comes back once in a hundred years, Dream Suisei, is travelling by Earth, everybody sees the same dream of a foreign world. Melonpanna saves an egg from being crushed and wakes up to find out that the egg has followed her home. 

A kitten hatches from the egg, and Melonpanna names her Nyanii and starts caring for her. But soon they find out that Nyanii is needed back on Dream Suisei, and if she doesn't return there, she will vanish. Melonpanna struggles with the upcoming hard goodbyes, but the real trouble starts when Baikinman accidentally awakens the evil monster Muuma.

(Source: ANN)",jikan_mal
177467,Klonoa Heroes: Densetsu no Star Medal,"Considered the prequel to the fourth Hamtaro game (fifth in Japan). In this tribute to the 2004 Olympics, Hamtaro and the Ham-Hams are tasked by Prince Bo with lighting the everlasting torch to Hamcropolis. However, the Rainbow Girls will not allow this and pursue the Ham-Hams.

(Source: Wikipedia)",jikan_mal
180821,Sushi Azarashi,,not_found
181865,Rusuden Hour: Sodan Brothers,,not_found
193472,Tian Jiang Xiaozi,,not_found
200376,"Sayonara, Midori ga Ike: Tobe! Tako Glider!!",,not_found
203024,Tianshang Diao Xia Ge Zhu Bajie,,not_found
205618,Narara Superboard 5,"As a punishment for causing havoc in Heaven, Sonogong is locked in a huge iron mass for 500 years until Samjang Bupsa, an old priest embarking on a mission to rid the world of evil and spread peace throughout the land, rescues him. Sonogong becomes Samjang's disciple. He meets Saojung who enviously eyes Sonogong's amazing Superboard, and a brute swine oil seller Jopalgye. After several twists and turns, they join on Samjang's journey. Wherever they go, they meet overwhelming enemies and get into trouble. But they don't get frustrated and find ingenious way to defeat monsters.

(Source: AniDB)",jikan_mal
2173,Kouchuu Ouja Mushiking Super Battle Movie: Yami no Kaizou Kouchuu,"A shadow of Darkness approaches a peaceful Forest...
Sounds like trouble for Mushiking!

Lets put our strengths together and fight Adder!
Deep in the Forest exists a paradise for the fairies and insects. There, Popo the Fairy, Mushiking, The King of Beetles, and many other beetles live happily together. One day, a happy-go-lucky beetle named Iron Stripe Stag-Beetle (Iron Stripe) from another forest appears in front of Popo, requesting a challenge with Mushiking in a combat. Suddenly, Iron Stripe and Popo are attacked by a red-eyed beetle, Blue Hercules Beetle, who is being controlled by Adder, the Fairy of Darkness scheming to rule the Forest. Mushiking, The King of Beetles, rushes to the rescue, but with Giraffe Stag-beetle (Giraffe), also controlled by Adder, showing up, he has to battle two giant beetles as he defends Popo and friends, and gradually losing strength, gets captured and is taken away.

(Source: Official Site)",jikan_mal
2930,Tensai? Dr. Hamax,"No synopsis has been added for this series yet.

Click here to update this information.",jikan_mal
3243,Elec-king The Animation,"A surrealist comedy about a local neighborhood. The 4-koma it's based on is known for the number of characters added each week, which exceeded over 280 during its serialization. The anime focuses on the 16 most reoccurring of the bunch and each episode is composed of 3 skits/chapters.",jikan_mal
6518,Eiga de Toujou! Tamagotchi Doki Doki! Uchuu no Maigotchi!?,"See all your Tamagotchi friends in their first feature-length film! On Tamagotchi planet, Mametchi, an illustrious inventor, has just finished his new creation a Forwarding Machine. But on its first trial run, the mischievous Kuchipatchi somehow manages to throw the machine s aim off course, which results in a child from Earth, Tanpopo, being transported to the Tamagotchi Planet. While the little girl is thrilled to see her favorite Tamagotchis in person, she soon realizes that she can't get home. Mametchi's mum and dad assure her that they will be able to invent a rocket which will take her back to the exact time she left and so, relieved, Tanpopo manages to enjoy the time she will spend living with Mametchi on Tamagotchi Planet until she can return home. But as a series of strange events threaten the planet, Tanpopo and her friends find themselves responsible for much more than her return to Earth. 

(Source: Amazon.com)",jikan_mal
10525,Shinseiki Duel Masters Flash,,not_found
11521,Hello Kitty: Ringo no Mori no Fantasy,"Kitty and Mimmy come upon the Apple Forest thanks to the help of a forest fairy. The fairy kingdom welcomes them as the ""Twin Heroines"" and ask that they save the princess. The key to the rescue is a golden apple and so the sisters' adventure begins.",jikan_mal
116046,Nanami-chan 4,,not_found
121071,Susume! Dokan-kun,"The second season of the Dokan-kun franchise. It aired within the ""Fight Tension☆School"" variety program.",jikan_mal
121826,Sore Ike! Anpanman: Horrorman to Hora Horako,,not_found
124449,Hong Mao Lan Tu: A Muxing,,not_found
129272,Shenbing Xiaojiang,,not_found
129278,Shen Chu Xiao Fugui,,not_found
129354,Laodai He Xiaodai,"Jiang Xiaobai has regained his memories, and Tong Li cannot bring herself to face him. Separately, they confront the truths left unsaid for 10 years—about the band September, to which Jiang Xiaobai and Mu Xiyu dedicated their youth; about the love triangle between Jiang Xiaobai, Mu Xiyu, and Tong Li; and about the painful circumstances that brought the trio together and ultimately led to the terrible tragedy that occurred on the day Tong Li left for America. At the end of it all, can Jiang Xiaobai and Tong Li accept the past and face the future together?

[Written by MAL Rewrite]",jikan_mal
129465,Yincha's Gongfu Xueyuan,,not_found
129474,Hapi Fu Zi,"A civilization that disappeared in the dust, the ancient bosses sought their own way to become emperors. Jiang Hao, a modern young man who was originally a chess piece, stepped into the prehistoric wilderness in order to find the whereabouts of his father. With his incomplete ""power bank"" totem, he fought with people, from primitive tribes to the mysterious ancient city, he fought his way out; he fought with the earth, crossed the wilderness, hunted ancient beasts, and learned the ancient and mysterious totem witchcraft from the beasts; he fought with the sky, and the magic light from the sky suddenly appeared, wanting to devour this magnificent six wastelands. He went upstream, ignited himself, turned into the sun, and fought with the devil! He was shaking the world, but he didn't know that the shackles of fate had already trapped him, and his father's smile was still lingering.

(Source: Youku, translated)",jikan_mal
129867,Happy Seven: The TV Manga - Chibi Chara Moshimo Gekijou,Chibi specials of Happy Seven: The TV Manga included on the DVD release of the series.,jikan_mal
132350,Tori GO! GO!,,not_found
171760,Sore Ike! Anpanman: Kokin-chan to Aoi Namida,"Anpanman finds an odd little girl from outer space. The girl turns out to be Kokin-chan, Dokin-chan's younger sister who came to Earth to play. Moreover, Kokin-chan is a master of fake crying and exploits her skill to get out of the trouble she causes. And her tears have the special power to make anyone whose eyes are touched by them cry without reason.

(Source: ANN)",jikan_mal
171762,Sore Ike! Anpanman: Kokin-chan to Namida no Christmas,,not_found
6062,Duel Masters Movie 2: Lunatic God Saga,"Five Enlightened cards scatters all around Japan after a secret ritual gets interrupted. Shobu Kirifuda got one of these cards from his father. Shori Kirifuda and 5 other duelist hunters are after him. 

Shobu must battle descendants of the Chosen Ones (Yaesar), named Luna &amp; Mikado Kozuki, who can control God power.",jikan_mal
6517,Eiga! Tamagotchi Uchuu Ichi Happy na Monogatari!?,,not_found
6687,Chinyuuki: Tarou to Yukai na Nakama-tachi,"A violent, trouble-making kabuki player joins a traveling monk, who happens to be have been transformed into a monkey by a curse, on a colorful journey west to ancient southern Asia.

(Source: Animesonfire)",jikan_mal
17102,Lolling Seutajeu,,not_found
18577,Noobow: Mini Theater,,not_found
108057,Ganbare Memeko-chan,Flash anime bundled with the October 2008 issue of Manga Club Original.,jikan_mal
116039,Sore Ike! Anpanman: Yousei Rinrin no Himitsu,"Anpanman’s strength from the flowers provided by the fairy Rin-Rin is in jeopardy when bad Baikinman tricks her into giving them to him instead!

(Source: TMDB)",jikan_mal
116048,Nanami-chan 5,,not_found
116050,Nanami-chan 6,,not_found
121072,Tatakae! Dokan-kun: Gekitou-kun,"The third season of the Dokan-kun franchise.  It aired within the ""Fight Tension☆TV"" variety program.",jikan_mal
121074,Tatakae! Dokan-kun: Robolympic-hen,"The fourth season of the Dokan-kun franchise.  It aired within the ""Fight Tension☆TV"" variety program.",jikan_mal
121840,Sore Ike! Anpanman: Hiya Hiya Hiyariko to Babu Babu Baikinman,,not_found
122183,Yonimo Kimyou na Man☆Gatarou,,not_found
129214,Konglong Baobei: Longshen Yongshi,,not_found
129273,Shenbing Xiaojiang (Movie),,not_found
129290,Fu Wu Shu: 36 Ji,,not_found
129292,Fu Wu Shu: Sunzi Bingfa,,not_found
129365,Zhen Gongfu: Aoyun Zai Wo Jia,,not_found
