id,release_year,release_quarter,split_pre_release_effective,is_model_split,popularity,meanScore,popularity_quarter_pct,popularity_quarter_bucket,title_romaji,title_english,description,coverImage_extraLarge,coverImage_large,coverImage_medium,bannerImage,trailer_id,trailer_site,trailer_thumbnail,has_text_description,has_cover_image,has_banner_image,has_trailer
1497,1962,4.0,train,True,2130.0,63,1.0,top_75_100,Aru Machi Kado no Monogatari,Tales of the Street Corner,"The scene is set with a poster on a street corner, a girl who cherishes her teddy bear, a street lamp and a playful moth that is drawn to the lamp. These creatures and inanimate objects, each with their own dramas, get involved in a war and the story ends in a tragic climax. This is a private animated piece that expresses feelings rather than telling a story. It can be said that Tezuka Osamu, frustrated with working for big companies, made an attempt here to depict what he really wanted in his animation. This work illustrates that even a poster on the wall can have a vivid drama behind it, and brings the magic of animation alive for us.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/1497.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/1497.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/1497.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/1497-qivayRHBmgOZ.jpg,,,,True,True,True,False
1547,1965,3.0,train,True,432.0,64,0.8333333333333334,top_75_100,Obake no Q-tarou,,"Q-taro, a monster, is living with the Ohara family. He can fly and make his body transparent, but he cannot turn his body into other things like other monsters do. He is a scattered mind, and he always makes mistakes and causes trouble.<br><br>
(Source: AnimeNfo)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/1547.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/1547.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/1547.jpg,,,,,True,True,False,False
1572,1965,4.0,train,True,2560.0,63,1.0,top_75_100,Jungle Taitei,Kimba the White Lion,"The series follows the adventures Leo, a young lion cub. Leo becomes king of the jungle when his father, the previous king of the jungle is killed by a human hunter.<br><br>(Source: Anime News Network)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/1572-IIMmL0Mpbpop.png,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/1572-IIMmL0Mpbpop.png,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/1572-IIMmL0Mpbpop.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/n1572-81YLQHgwGSn8.jpg,,,,True,True,True,False
1982,1962,4.0,train,True,1362.0,46,0.875,top_75_100,Osu,Male,"A cat just wants some alone time with his girl, but is interrupted by his stressed owner. Can't those stupid humans just keep things like relationships simple?",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/nx1982-XW3AItdy1oRi.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx1982-XW3AItdy1oRi.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/nx1982-XW3AItdy1oRi.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/n1982-TNfY8MY2lS2E.jpg,MyN1NXlfJG0,youtube,https://i.ytimg.com/vi/MyN1NXlfJG0/hqdefault.jpg,True,True,True,True
1984,1964,4.0,train,True,1202.0,55,0.875,top_75_100,Memory,,"This is a short, privately produced animated film. While elucidating the mystery and fuzziness as well as merits and demerits of memory in idealizing reality, the story develops into a tale of destruction of human beings, turning the existence of the earth into a memory of the universe. The production, only 5 minutes long, greatly helps expand the viewer's imagination, embodying the enchantment of animation.<br><br>
(Source: AniDB)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/1984-AxWxVpjQzLBB.png,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/1984-AxWxVpjQzLBB.png,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/1984-AxWxVpjQzLBB.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/1984-yE5h0iZoRH4p.jpg,,,,True,True,True,False
1989,1965,4.0,train,True,1037.0,51,0.8888888888888888,top_75_100,Shizuku,The Drop,"A man trapped on a raft in the middle of the ocean is in desperate need of water. Luckily for him, a few drops of rain water are about to fall from the raft's mast. Comedy ensues as the thirsty man attempts to drink the few small drops of water.
<br><br>
(Source: Anime News Network)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/1989-Dm1rneWQkXBA.png,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/1989-Dm1rneWQkXBA.png,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/1989-Dm1rneWQkXBA.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/1989-DLY41qSfk26E.jpg,,,,True,True,True,False
2047,1964,4.0,train,True,1538.0,58,1.0,top_75_100,Ningyo,Mermaid,"In a fictional place where using the imagination is banned, a boy saves a fish, which surprises everyone by turning into a mermaid. The boy is arrested for imagining this ""nonsense"", and is robbed of his imagination as punishment.
<br><br>
(Source: Anime News Network)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/2047.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/2047.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/2047.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/2047-CYFpeeBjnDOM.jpg,,,,True,True,True,False
2686,1963,4.0,train,True,1525.0,61,1.0,top_75_100,Tetsujin 28-gou,Gigantor,"Dr.Haneda was developing experimental giant robot warriors to fight the allies during the Second World War, but before his creations could see action, Allied bombs destroyed the facility and killed him. A decade later criminals discovered two of the surviving prototypes, #26 and 27 in the series, and used the remote controlled robots to commit a number of crimes. Young Shotaro Haneda, the twelve year old son of Dr.Haneda, did some investigating and discovered that the mob were hunting for the twenty-eighth robot in the series, rumoured to be the most powerful of them all. Racing the villains, Shotaro discovers the robot first, along with Dr.Shikashima, a colleague of his father's who was also believed killed by the Allied bombing. Together the two prevent Tetusjin-28 (the robot's official designation) from falling into the hands of the bad guys, and decide to dedicate him to peace rather than war.<br><br>
Shotaro fought crime for a long time, supported by Dr.Shikashima, who would repair Tetsujin-28 when he was damaged, and by police officer Otsuka. Shotaro even battled the alien Magmans, invaders from the planet Magma, who came to Earth late in his career, bringing their own giant robots, Magma X and Gold Wolf, with them.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx2686-TuhNXLgXsszW.png,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx2686-TuhNXLgXsszW.png,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/bx2686-TuhNXLgXsszW.png,,,,,True,True,False,False
2747,1963,1.0,train,True,4290.0,66,1.0,top_75_100,Tetsuwan Atom,Astro Boy,"In the distant year 2003, Japan is a technological utopia, and robots are everywhere. One such robot, Tobio, was built by the brilliant Dr. Tenma to replace his dead son. But when it soon becomes apparent that Tobio is an imperfect copy of his departed child, Dr. Tenma throws him out. He is rescued from the scrap heap by the benevolent Professor Ochanomizu, a crusader for robot civil rights. Now the little robot, renamed Astro Boy, is given a mission to defend Japan and the world from all manner of sinister threats. Using his seven super-abilities and 100,000 horsepower worth of strength to battle evil, Astro hopes to set an example to the world of the good which all robots are capable of. ",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/2747.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/2747.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/2747.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/2747-9vSxJNN5dr3Y.jpg,KGq6z1mEU9Q,youtube,https://i.ytimg.com/vi/KGq6z1mEU9Q/hqdefault.jpg,True,True,True,True
2765,1945,2.0,train,True,1272.0,46,1.0,top_75_100,Momotarou: Umi no Shinpei,"Momotaro, Sacred Sailors","Like the prior film, the movie features the ""Peach Boy"" character of Japanese folklore. The film is about the surprise maneuver on Sulawesi island, depicting parachute troops' actions. The whole movie also depicts how Japan ""liberates Asia"", as proclaimed by the Government at the time.<br><br>
There are some musical scenes. Of note is The Song of AIUEO (&#12450;&#12452;&#12454;&#12456;&#12458;&#12398;&#27468;, AIUEO no Uta), a scene where Japanese soldiers teach local animals how to speak.<br><br>
(Source: Wikipedia)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b2765-mFlSYnsfVtzR.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b2765-mFlSYnsfVtzR.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/cover/small/b2765-mFlSYnsfVtzR.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/2765-hEuOqeT8LaqK.jpg,,,,True,True,True,False
