baseline_id,target,n_train_v2,n_features_v2,test_MAE_v2,test_R2_v2,test_Spearman_rho_v2,n_train_highres,n_features_highres,test_MAE_highres,test_R2_highres,test_Spearman_rho_highres,run_dir,delta_test_MAE,delta_test_R2,delta_test_Spearman_rho
C1-Armenta-ProjectInputProxy,meanScore,12729,1559,9.2523,-0.1983,0.4307,12729,3994,8.4901,-0.0187,0.4808,.exp/baseline/results/v2_highres_01_3,-0.7622,0.1796,0.05009999999999998
C1-Armenta-ProjectInputProxy,popularity,12729,1559,11672.2261,0.3794,0.8287,12729,3994,11095.5952,0.4332,0.8418,.exp/baseline/results/v2_highres_01_3,-576.6309000000001,0.05379999999999996,0.0131
C2-CTNN-Lite,meanScore,12729,1408,9.5143,-0.2506,0.303,12729,3843,8.5829,-0.0356,0.4259,.exp/baseline/results/v2_highres_01_4,-0.9314,0.215,0.12290000000000001
C2-CTNN-Lite,popularity,12729,1408,14129.7782,0.1798,0.7301,12729,3843,13383.7815,0.3062,0.8176,.exp/baseline/results/v2_highres_01_4,-745.9967000000015,0.12640000000000004,0.08750000000000002
C2-ProjectInputCrossAttention,meanScore,12729,1559,8.4384,0.0087,0.4837,12729,3994,8.063,0.0586,0.5044,.exp/baseline/results/v2_highres_01_5,-0.37539999999999907,0.0499,0.02069999999999994
C2-ProjectInputCrossAttention,popularity,12729,1559,11044.714,0.4165,0.8473,12729,3994,11193.8393,0.4478,0.8647,.exp/baseline/results/v2_highres_01_5,149.1252999999997,0.031299999999999994,0.01739999999999997
C2-ProjectInputRecurrentFusion,meanScore,12729,1559,8.9897,-0.1324,0.4373,12729,3994,8.3908,0.0037,0.4895,.exp/baseline/results/v2_highres_01_6,-0.5988999999999987,0.1361,0.05219999999999997
C2-ProjectInputRecurrentFusion,popularity,12729,1559,11302.3265,0.409,0.8479,12729,3994,10469.808,0.4748,0.8673,.exp/baseline/results/v2_highres_01_6,-832.5184999999983,0.06580000000000003,0.019399999999999973
C3-ProjectInputSKAPPGraphProxy,meanScore,12729,15695,8.5741,-0.0355,0.4719,12729,42480,8.1218,0.0671,0.5169,.exp/baseline/results/v2_highres_01_13,-0.45229999999999926,0.1026,0.04500000000000004
C3-ProjectInputSKAPPGraphProxy,popularity,12729,15695,11512.0077,0.4046,0.8563,12729,42480,11254.5741,0.3862,0.8737,.exp/baseline/results/v2_highres_01_13,-257.4336000000003,-0.018400000000000027,0.017400000000000082
C3-ProjectInputSKAPPProxy-XGB,meanScore,12729,1652,8.263,0.0472,0.5217,12729,4087,7.8582,0.1274,0.5634,.exp/baseline/results/v2_highres_01_12,-0.4047999999999998,0.08020000000000002,0.04169999999999996
C3-ProjectInputSKAPPProxy-XGB,popularity,12729,1652,10121.7524,0.5174,0.8563,12729,4087,10075.2543,0.543,0.8633,.exp/baseline/results/v2_highres_01_12,-46.498099999998885,0.025600000000000067,0.007000000000000006
C3-RAG-Dense-XGB,meanScore,12729,1643,8.4275,0.0034,0.5172,12729,4078,8.0937,0.0806,0.558,.exp/baseline/results/v2_highres_01_9,-0.3338000000000001,0.0772,0.04080000000000006
C3-RAG-Dense-XGB,popularity,12729,1643,10068.9599,0.4742,0.8517,12729,4078,9662.1298,0.5502,0.8614,.exp/baseline/results/v2_highres_01_9,-406.8300999999992,0.07600000000000001,0.009700000000000042
C3-RAG-Hybrid-XGB,meanScore,12729,1643,8.4433,0.01,0.5367,12729,4078,8.1344,0.0724,0.5657,.exp/baseline/results/v2_highres_01_10,-0.3089000000000013,0.062400000000000004,0.029000000000000026
C3-RAG-Hybrid-XGB,popularity,12729,1643,10298.5317,0.464,0.8487,12729,4078,9967.652,0.5312,0.8641,.exp/baseline/results/v2_highres_01_10,-330.8796999999995,0.06719999999999998,0.01539999999999997
C3-RAG-None-XGB,meanScore,12729,1567,8.4819,-0.0047,0.5175,12729,4002,8.2119,0.0583,0.5575,.exp/baseline/results/v2_highres_01_7,-0.2699999999999996,0.063,0.040000000000000036
C3-RAG-None-XGB,popularity,12729,1567,9584.3608,0.5224,0.8584,12729,4002,9582.1103,0.544,0.8652,.exp/baseline/results/v2_highres_01_7,-2.250500000000102,0.021600000000000064,0.006799999999999917
C3-RAG-Selective-XGB,meanScore,12729,1643,8.309,0.0418,0.5234,12729,4078,8.0901,0.0884,0.5561,.exp/baseline/results/v2_highres_01_11,-0.21889999999999965,0.04660000000000001,0.03270000000000006
C3-RAG-Selective-XGB,popularity,12729,1643,9520.2222,0.5901,0.8719,12729,4078,9256.1195,0.6182,0.8719,.exp/baseline/results/v2_highres_01_11,-264.10269999999946,0.028100000000000014,0.0
C3-RAG-Sparse-XGB,meanScore,12729,1643,8.3676,0.0317,0.5193,12729,4078,8.0691,0.0938,0.5563,.exp/baseline/results/v2_highres_01_8,-0.2984999999999989,0.062099999999999995,0.03700000000000003
C3-RAG-Sparse-XGB,popularity,12729,1643,9564.7193,0.584,0.8699,12729,4078,9219.1995,0.6141,0.8715,.exp/baseline/results/v2_highres_01_8,-345.51980000000003,0.030100000000000016,0.0016000000000000458
F2-XGB-Concat,meanScore,12729,1559,8.5473,-0.0231,0.5102,12729,3994,8.2031,0.0562,0.553,.exp/baseline/results/v2_highres_01_2,-0.3442000000000007,0.0793,0.04280000000000006
F2-XGB-Concat,popularity,12729,1559,9688.3006,0.5108,0.8579,12729,3994,9539.7047,0.5515,0.865,.exp/baseline/results/v2_highres_01_2,-148.59590000000026,0.04069999999999996,0.007099999999999995
I1-XGB-ImageEmb,meanScore,13321,1024,9.4161,-0.1603,0.2826,13321,3075,8.6345,-0.0103,0.418,.exp/baseline/results/v2_highres_01,-0.781600000000001,0.15,0.13539999999999996
I1-XGB-ImageEmb,popularity,13321,1024,13928.1819,-0.0039,0.582,13321,3075,12100.8365,0.2096,0.7257,.exp/baseline/results/v2_highres_01,-1827.3454000000002,0.2135,0.14370000000000005
