variant,case_type,mal_id,title_romaji,format,source,release_year,note,external_popularity_members,prediction_popularity,pop_signed_log_error,actual_to_pred_ratio,external_score_0_100,prediction_meanScore,score_signed_error,score_abs_error
no_yolo,popularity_ranking_success,27821,Fate/stay night: Unlimited Blade Works Prologue,SPECIAL,VISUAL_NOVEL,2014,Actual and predicted popularity are both in the top decile.,341340,5117.17379972602,-4.200084281931545,66.70478927611875,80.3,59.05426717941239,,
no_yolo,popularity_ranking_success,20021,Sword Art Online: Extra Edition,SPECIAL,LIGHT_NOVEL,2013,Actual and predicted popularity are both in the top decile.,331825,6452.521186745914,-3.939984832871371,51.42563509618532,65.5,65.47329775752716,,
no_yolo,popularity_ranking_success,38414,Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna,MOVIE,LIGHT_NOVEL,2019,Actual and predicted popularity are both in the top decile.,308346,2615.512245701192,-4.769383545183267,117.8912469275538,75.8,61.41931706173295,,
no_yolo,popularity_ranking_success,53273,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ONA,MANGA,2022,Actual and predicted popularity are both in the top decile.,272412,8547.384160639253,-3.461577019043368,31.870803380343972,85.1,63.01975921262807,,
no_yolo,popularity_ranking_success,34321,Fate/Grand Order: First Order,SPECIAL,VIDEO_GAME,2016,Actual and predicted popularity are both in the top decile.,237089,3207.4701082283227,-4.302645594151835,73.91775823312611,67.30000000000001,59.57669684903032,,
no_yolo,popularity_tail_underestimate,35262,Boku no Hero Academia: Hero Note,SPECIAL,MANGA,2017,High-MAL-member title strongly underpredicted on the MAL scale.,192912,1078.0669689107058,-5.186142560003314,178.94250131318003,72.6,54.42697578814958,,
no_yolo,popularity_tail_underestimate,39607,Tensei shitara Slime Datta Ken: Kanwa - Veldora Nikki,SPECIAL,MANGA,2019,High-MAL-member title strongly underpredicted on the MAL scale.,138179,869.3845554514681,-5.067377330294921,158.93887133553247,67.8,58.03827985746959,,
no_yolo,popularity_tail_underestimate,53148,Gokushufudou Season 2,ONA,MANGA,2023,High-MAL-member title strongly underpredicted on the MAL scale.,93493,631.9716401207846,-4.995226923291041,147.9386005076609,75.7,56.55169581117198,,
no_yolo,popularity_tail_underestimate,41590,Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna - Manner Movie,MOVIE,LIGHT_NOVEL,2019,High-MAL-member title strongly underpredicted on the MAL scale.,51215,389.2024965592226,-4.877141435888301,131.58959783858148,75.7,56.93190721300273,,
no_yolo,popularity_tail_underestimate,19285,Shingeki no Kyojin: Ano Hi Kara,SPECIAL,MANGA,2013,High-MAL-member title strongly underpredicted on the MAL scale.,148165,1148.1052740377602,-4.859349649855499,129.05175453024438,74.3,56.13069688796966,,
no_yolo,score_high_underestimate,6904,Hellsing: Digest for Freaks,OVA,MANGA,2006,High-MAL-score title underpredicted by the model.,47213,1662.5033680423332,,,75.9,48.84062594777074,-27.059374052229266,27.059374052229266
no_yolo,score_high_underestimate,51195,Wu Shan Wu Xing,ONA,ORIGINAL,2016,High-MAL-score title underpredicted by the model.,3974,209.3590297702445,,,71.8,46.35430576784082,-25.445694232159177,25.445694232159177
no_yolo,score_high_underestimate,53273,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ONA,MANGA,2022,High-MAL-score title underpredicted by the model.,272412,8547.384160639253,,,85.1,63.01975921262807,-22.080240787371928,22.080240787371928
no_yolo,score_high_underestimate,56442,Bleach: Sennen Kessen-hen - Ketsubetsu-tan Recap,SPECIAL,MANGA,2023,High-MAL-score title underpredicted by the model.,5708,990.1422415977,,,75.0,53.13688844018024,-21.863111559819757,21.863111559819757
no_yolo,score_high_underestimate,27821,Fate/stay night: Unlimited Blade Works Prologue,SPECIAL,VISUAL_NOVEL,2014,High-MAL-score title underpredicted by the model.,341340,5117.17379972602,,,80.3,59.05426717941239,-21.245732820587605,21.245732820587605
no_yolo,score_largest_absolute_error,6904,Hellsing: Digest for Freaks,OVA,MANGA,2006,Largest absolute score error in the dual external split.,47213,1662.5033680423332,,,75.9,48.84062594777074,-27.059374052229266,27.059374052229266
no_yolo,score_largest_absolute_error,37448,Ladyspo,TV,ORIGINAL,2018,Largest absolute score error in the dual external split.,4933,348.7037748619104,,,29.9,56.30690571408374,26.40690571408374,26.40690571408374
no_yolo,score_largest_absolute_error,51195,Wu Shan Wu Xing,ONA,ORIGINAL,2016,Largest absolute score error in the dual external split.,3974,209.3590297702445,,,71.8,46.35430576784082,-25.445694232159177,25.445694232159177
no_yolo,score_largest_absolute_error,57544,Midnight Grand Mos Burger,ONA,ORIGINAL,2022,Largest absolute score error in the dual external split.,470,392.2517039422853,,,63.6,38.87886108510304,-24.72113891489696,24.72113891489696
no_yolo,score_largest_absolute_error,53273,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ONA,MANGA,2022,Largest absolute score error in the dual external split.,272412,8547.384160639253,,,85.1,63.01975921262807,-22.080240787371928,22.080240787371928
cover_yolo,popularity_ranking_success,27821,Fate/stay night: Unlimited Blade Works Prologue,SPECIAL,VISUAL_NOVEL,2014,Actual and predicted popularity are both in the top decile.,341340,3407.641931880932,-4.606568026093404,100.16897515156147,80.3,59.2179284011141,,
cover_yolo,popularity_ranking_success,20021,Sword Art Online: Extra Edition,SPECIAL,LIGHT_NOVEL,2013,Actual and predicted popularity are both in the top decile.,331825,4854.58185398164,-4.224481794241948,68.35295190827675,65.5,65.26812107607965,,
cover_yolo,popularity_ranking_success,53273,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ONA,MANGA,2022,Actual and predicted popularity are both in the top decile.,272412,5811.070934341501,-3.8473823466308836,46.878106131889645,85.1,62.59546303010339,,
cover_yolo,popularity_ranking_success,34321,Fate/Grand Order: First Order,SPECIAL,VIDEO_GAME,2016,Actual and predicted popularity are both in the top decile.,237089,2696.7256163472352,-4.476030762178736,87.91736117415662,67.30000000000001,58.61172013171189,,
cover_yolo,popularity_ranking_success,27891,Sword Art Online II: Debriefing,SPECIAL,LIGHT_NOVEL,2014,Actual and predicted popularity are both in the top decile.,138719,3179.1774863107967,-3.775520504492368,43.633612969804105,67.1,65.54941900556705,,
cover_yolo,popularity_tail_underestimate,35262,Boku no Hero Academia: Hero Note,SPECIAL,MANGA,2017,High-MAL-member title strongly underpredicted on the MAL scale.,192912,1017.4153624180668,-5.243991457068239,189.60987530354433,72.6,54.476369350182274,,
cover_yolo,popularity_tail_underestimate,53148,Gokushufudou Season 2,ONA,MANGA,2023,High-MAL-member title strongly underpredicted on the MAL scale.,93493,493.3971961616108,-5.242313307161482,189.48830825819417,75.7,55.55550855658606,,
cover_yolo,popularity_tail_underestimate,39607,Tensei shitara Slime Datta Ken: Kanwa - Veldora Nikki,SPECIAL,MANGA,2019,High-MAL-member title strongly underpredicted on the MAL scale.,138179,826.1046411299092,-5.118381244032039,167.2657350175456,67.8,57.76740853246685,,
cover_yolo,popularity_tail_underestimate,38414,Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna,MOVIE,LIGHT_NOVEL,2019,High-MAL-member title strongly underpredicted on the MAL scale.,308346,2003.4916817406995,-5.0358352688871495,153.9043075697219,75.8,61.178578365251234,,
cover_yolo,popularity_tail_underestimate,19285,Shingeki no Kyojin: Ano Hi Kara,SPECIAL,MANGA,2013,High-MAL-member title strongly underpredicted on the MAL scale.,148165,1052.055400492794,-4.946637423016349,140.83383815205733,74.3,55.69143004975288,,
cover_yolo,score_high_underestimate,6904,Hellsing: Digest for Freaks,OVA,MANGA,2006,High-MAL-score title underpredicted by the model.,47213,1809.0062408656129,,,75.9,49.56000853350473,-26.339991466495277,26.339991466495277
cover_yolo,score_high_underestimate,51195,Wu Shan Wu Xing,ONA,ORIGINAL,2016,High-MAL-score title underpredicted by the model.,3974,221.17818880585617,,,71.8,48.22805934485706,-23.57194065514294,23.57194065514294
cover_yolo,score_high_underestimate,53273,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ONA,MANGA,2022,High-MAL-score title underpredicted by the model.,272412,5811.070934341501,,,85.1,62.59546303010339,-22.504536969896606,22.504536969896606
cover_yolo,score_high_underestimate,27821,Fate/stay night: Unlimited Blade Works Prologue,SPECIAL,VISUAL_NOVEL,2014,High-MAL-score title underpredicted by the model.,341340,3407.641931880932,,,80.3,59.2179284011141,-21.082071598885896,21.082071598885896
cover_yolo,score_high_underestimate,59571,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,MOVIE,MANGA,2024,High-MAL-score title underpredicted by the model.,66161,2029.642717105834,,,88.4,68.02839662761559,-20.371603372384413,20.371603372384413
cover_yolo,score_largest_absolute_error,6904,Hellsing: Digest for Freaks,OVA,MANGA,2006,Largest absolute score error in the dual external split.,47213,1809.0062408656129,,,75.9,49.56000853350473,-26.339991466495277,26.339991466495277
cover_yolo,score_largest_absolute_error,37448,Ladyspo,TV,ORIGINAL,2018,Largest absolute score error in the dual external split.,4933,426.5324777750077,,,29.9,55.25750932304789,25.357509323047893,25.357509323047893
cover_yolo,score_largest_absolute_error,57544,Midnight Grand Mos Burger,ONA,ORIGINAL,2022,Largest absolute score error in the dual external split.,470,370.41081152247045,,,63.6,38.76967607207072,-24.83032392792928,24.83032392792928
cover_yolo,score_largest_absolute_error,51195,Wu Shan Wu Xing,ONA,ORIGINAL,2016,Largest absolute score error in the dual external split.,3974,221.17818880585617,,,71.8,48.22805934485706,-23.57194065514294,23.57194065514294
cover_yolo,score_largest_absolute_error,53273,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ONA,MANGA,2022,Largest absolute score error in the dual external split.,272412,5811.070934341501,,,85.1,62.59546303010339,-22.504536969896606,22.504536969896606
