exam,variant,target,slice_type,slice_value,n,spearman,actual_mean,pred_mean,actual_median,pred_median,metric,error,signed_error,actual_to_pred_ratio
pop_only,no_yolo,popularity,popularity_quantile,Q1_low,753,0.013840273520918336,100.73705179282868,393.5012354640345,108.0,322.2391414050217,log_mae,1.2362168231328439,1.2295057047747324,0.25600186915305356
pop_only,no_yolo,popularity,popularity_quantile,Q2,753,0.04997837731013627,163.09561752988049,446.87193123877995,159.0,357.0707863685454,log_mae,0.8593649483211507,0.7999462047845345,0.36497172037133957
pop_only,no_yolo,popularity,popularity_quantile,Q3,753,0.015127973106106661,307.61752988047806,519.9624444220353,303.0,400.0678270454843,log_mae,0.5705126685483959,0.27481160397406157,0.5916149006153907
pop_only,no_yolo,popularity,popularity_quantile,Q4,753,0.2779295558094594,686.9654714475431,927.2747471179509,612.0,558.3300168453777,log_mae,0.6341286566193269,-0.12164729957518455,0.7408435025138886
pop_only,no_yolo,popularity,popularity_quantile,Q5_high,753,0.2426650910698335,17800.314741035858,1610.553634621012,5392.0,1092.1882989157275,log_mae,1.879269969927926,-1.7903544520820955,11.052295532662932
pop_only,no_yolo,popularity,release_period,2010-2014,613,0.36373640692596576,3735.009787928222,597.5016105892278,283.0,399.60653803315415,log_mae,0.9973328240452888,0.023561159432757783,6.251045556588429
pop_only,no_yolo,popularity,release_period,2015-2019,1137,0.3800548748456548,3548.233948988566,622.4415382462895,258.0,398.7745289923543,log_mae,1.029056198922789,0.07943456004513927,5.700509575542805
pop_only,no_yolo,popularity,release_period,2020-2026,1183,0.5942369665272308,5460.506339814032,767.5997318708603,268.0,472.8934225660077,log_mae,1.1413583994802585,-0.047506706497292994,7.113741854110885
pop_only,no_yolo,popularity,release_period,<=2009,828,0.48574464411175183,1767.3852657004832,1147.9685558997974,395.0,602.114345597367,log_mae,0.9141030604506993,0.31215639388157274,1.5395763730785956
pop_only,no_yolo,popularity,format_slice,MOVIE,861,0.3903437985891575,1897.6469221835075,953.2313363109789,183.0,380.70032698949615,log_mae,1.050552191043575,0.4494148571897092,1.990751719857881
pop_only,no_yolo,popularity,format_slice,ONA,1118,0.2672674784607977,1093.4212880143114,501.9577482874157,261.5,392.4138722824216,log_mae,0.8997718545134249,0.28637064285246316,2.1783133973822633
pop_only,no_yolo,popularity,format_slice,OVA,296,0.43132861380282717,3111.429054054054,808.046492017753,416.5,622.1892102626593,log_mae,0.8509993857725915,0.14353477527480263,3.850556972637281
pop_only,no_yolo,popularity,format_slice,SPECIAL,761,0.6405134816961999,8516.735873850197,1082.014906185209,967.0,756.8080290663655,log_mae,1.2217211618027735,-0.5357023558243419,7.871181649314898
pop_only,no_yolo,popularity,format_slice,TV,715,0.48182767253493713,5580.904895104895,673.2186942553485,248.0,408.9439442057424,log_mae,1.0920786672605207,-0.03234070563594607,8.289884019453693
pop_only,no_yolo,popularity,format_slice,UNKNOWN,14,0.4945054945054946,7309.928571428572,675.0051314710234,3466.5,454.42950600249424,log_mae,1.9447171332489057,-1.6734757304317718,10.829441482168008
pop_only,no_yolo,popularity,source_slice,LIGHT_NOVEL,213,0.508429050499435,20746.798122065728,1710.0031343357552,4116.0,1082.8331518956986,log_mae,1.75691098385111,-1.2164901295159534,12.132608242337959
pop_only,no_yolo,popularity,source_slice,MANGA,591,0.558848006691464,10361.260575296108,1245.4723509653245,1582.0,924.9315889007888,log_mae,1.365662886783462,-0.7530455628762401,8.319141382195628
pop_only,no_yolo,popularity,source_slice,ORIGINAL,1760,0.27051116118573754,969.6170454545454,582.4892949904657,195.0,357.1584460583318,log_mae,0.9243786046500438,0.3713095128327516,1.6646092104927288
pop_only,no_yolo,popularity,source_slice,OTHER,263,0.41775856682991597,752.7300380228137,794.8897575419493,293.0,436.02558403468566,log_mae,0.894500626075386,0.3888643621954403,0.9469615514363818
pop_only,no_yolo,popularity,source_slice,OTHER_SMALL,291,0.350751182318103,2601.9896907216494,599.2978635984988,275.0,453.82788922579886,log_mae,0.9548001053992299,0.3113562280555127,4.341730296013302
pop_only,no_yolo,popularity,source_slice,UNKNOWN,395,0.37221219362532804,441.04810126582277,632.910244956699,278.0,482.2079952537403,log_mae,0.7720484766569765,0.5314933383056393,0.6968572633802087
pop_only,no_yolo,popularity,source_slice,VIDEO_GAME,252,0.4112234506894011,3860.1746031746034,699.9217028199068,522.0,515.145976186708,log_mae,1.086759863769779,-0.2253379718194638,5.5151520343238225
pop_only,no_yolo,popularity,popularity_tail,lower_90pct,3388,0.3882615444140024,581.8459268004723,662.8881102070359,264.0,423.5376010607283,log_mae,0.855409007234074,0.38280655235460503,0.8777437969414594
pop_only,no_yolo,popularity,popularity_tail,top_10pct,377,0.2416074352980713,32838.010610079575,1828.7866558223172,17056.0,1278.4291802783498,log_mae,2.6579113066388316,-2.6566989195881634,17.95617356761273
dual,no_yolo,popularity,popularity_quantile,Q1_low,241,0.17675035902745884,409.8464730290456,447.9374086638377,419.0,373.061912236912,log_mae,0.4748920337354106,-0.06787424725260875,0.9149637094423206
dual,no_yolo,popularity,popularity_quantile,Q2,240,0.25991076046417444,680.3333333333334,882.0600506834448,672.0,561.9807614353278,log_mae,0.5657193712477079,-0.16726028770443818,0.7713004718966606
dual,no_yolo,popularity,popularity_quantile,Q3,240,0.1829283351784022,1276.4625,1456.7750138780584,1249.5,775.2968590069472,log_mae,0.8286296870373443,-0.34570133837699046,0.876224871953253
dual,no_yolo,popularity,popularity_quantile,Q4,240,0.10939047269758595,3558.4083333333333,1191.6179778620537,3276.0,949.2192382067866,log_mae,1.304333209694372,-1.2846517445447332,2.9861989324109275
dual,no_yolo,popularity,popularity_quantile,Q5_high,241,0.26867868657597377,36350.73858921162,2089.6881668140118,18566.0,1413.150669101277,log_mae,2.676781365922244,-2.674884810245473,17.3952933105004
dual,no_yolo,popularity,release_period,2010-2014,205,0.6477436357659653,10735.439024390244,980.1381764716871,1292.0,598.0237775933144,log_mae,1.300416327454594,-1.1829390757317877,10.952985285233765
dual,no_yolo,popularity,release_period,2015-2019,387,0.6640087370378605,10023.839793281653,1026.888257955523,1276.0,623.0473886120154,log_mae,1.2647680591421555,-1.138976398542036,9.761373465540016
dual,no_yolo,popularity,release_period,2020-2026,279,0.5395077790002389,9957.021505376344,1162.4325908282397,1355.0,769.8626864952188,log_mae,1.2279677867066832,-0.9852095692998897,8.56567648217942
dual,no_yolo,popularity,release_period,<=2009,331,0.44747927383853897,4002.870090634441,1620.0112357258408,1131.0,836.09684281212,log_mae,0.9322762390489001,-0.40565648100260654,2.470890326165527
dual,no_yolo,popularity,format_slice,MOVIE,177,0.35042013215179285,6447.141242937853,2129.5353337274228,1331.0,757.5835235619771,log_mae,1.3320468106604717,-0.5450699751875042,3.0274873306061223
dual,no_yolo,popularity,format_slice,ONA,383,0.3506274072820739,2572.135770234987,612.8503921428161,619.0,444.1141700210858,log_mae,0.8318111154955523,-0.6218633146956659,4.19700436388982
dual,no_yolo,popularity,format_slice,OVA,127,0.5886078359600501,6878.779527559055,1022.3808737952388,831.0,750.3687036404782,log_mae,0.8808691585328933,-0.7068610630931582,6.728196608396969
dual,no_yolo,popularity,format_slice,SPECIAL,481,0.4997161589581359,13265.293139293139,1430.6245409680337,3192.0,991.5631403660688,log_mae,1.4085695559350715,-1.2626737372962373,9.272379131925952
dual,no_yolo,popularity,format_slice,TV,34,0.5972498090145149,23601.970588235294,860.4195421689251,1158.0,518.1915385713667,log_mae,1.8673162168355788,-1.784226000540204,27.430770027305527
dual,no_yolo,popularity,source_slice,LIGHT_NOVEL,115,0.49252839211094046,27914.2,2099.5172546817835,7501.0,1254.377800055624,log_mae,1.9335342332956966,-1.7602605411117433,13.295532550519981
dual,no_yolo,popularity,source_slice,MANGA,306,0.42872656942353643,12683.601307189543,1515.4422325546175,3065.0,1146.0611769149693,log_mae,1.4065509369799605,-1.2365272864214794,8.369570963987515
dual,no_yolo,popularity,source_slice,ORIGINAL,386,0.49126059250393994,3243.497409326425,1044.3757687352609,751.0,504.22149583952665,log_mae,1.042810187037001,-0.638732047595043,3.1056804518303798
