source,baseline_id,target,feature_set,model,reproduction_level,n_test,n_features,test_MAE,test_RMSE,test_R2_raw,test_Spearman_rho,test_Pearson_r,test_log_MAE,run_dir,test_log_R2,test_factor_acc_2x,test_acc_within_10pt
v2,F0-Mean,popularity,none,mean,common,3087,0,14935.0718,38344.7483,-0.1479,0.0,0.0,1.9884,.exp/baseline/results/v2_01,-0.0,0.195,
v2,F0-Mean,meanScore,none,mean,common,3087,0,10.9115,13.0139,-0.4631,0.0,0.0,,.exp/baseline/results/v2_01,,,0.5083
v2,F0-Ridge-Meta,popularity,metadata,ridge,common,3087,151,12802.2336,42376.2757,-0.402,0.8007,0.5327,1.0551,.exp/baseline/results/v2_01,0.6855,0.3962,
v2,F0-Ridge-Meta,meanScore,metadata,ridge,common,3087,151,9.2029,11.4199,-0.1266,0.4913,0.5038,,.exp/baseline/results/v2_01,,,0.6054
v2,F1-RF-Meta,popularity,metadata,random_forest,adapted,3087,151,8551.7168,23013.9002,0.5865,0.842,0.7707,0.8938,.exp/baseline/results/v2_01,0.7554,0.4891,
v2,F1-RF-Meta,meanScore,metadata,random_forest,adapted,3087,151,8.0179,10.1438,0.1111,0.5759,0.5875,,.exp/baseline/results/v2_01,,,0.6761
v2,F1-GB-Meta,popularity,metadata,gradient_boosting,adapted,3087,151,9006.6811,25297.4313,0.5004,0.8303,0.7205,0.8958,.exp/baseline/results/v2_01,0.7568,0.4911,
v2,F1-GB-Meta,meanScore,metadata,gradient_boosting,adapted,3087,151,8.8758,11.0341,-0.0518,0.5265,0.5379,,.exp/baseline/results/v2_01,,,0.6213
v2,F2-XGB-Concat,popularity,metadata_text_image,xgboost,adapted,2808,1559,9688.3006,26023.817,0.5108,0.8579,0.7254,0.9021,.exp/baseline/results/v2_01,0.762,0.4772,
v2,F2-XGB-Concat,meanScore,metadata_text_image,xgboost,adapted,2808,1559,8.5473,10.7021,-0.0231,0.5102,0.5279,,.exp/baseline/results/v2_01,,,0.6375
v2,T2-XGB-TextEmb,popularity,text_embedding,xgboost,adapted,2808,384,15203.9965,38344.8675,-0.0621,0.6433,0.4337,1.5077,.exp/baseline/results/v2_01,0.392,0.2817,
v2,T2-XGB-TextEmb,meanScore,text_embedding,xgboost,adapted,2808,384,10.6671,12.8603,-0.4773,0.2262,0.2316,,.exp/baseline/results/v2_01,,,0.5082
v2,I1-XGB-ImageEmb,popularity,image_embedding,xgboost,adapted,3087,1024,13928.1819,35857.6995,-0.0039,0.582,0.3668,1.6629,.exp/baseline/results/v2_01,0.2892,0.2203,
v2,I1-XGB-ImageEmb,meanScore,image_embedding,xgboost,adapted,3087,1024,9.4161,11.5892,-0.1603,0.2826,0.3001,,.exp/baseline/results/v2_01,,,0.5935
v2,C1-Armenta-ProjectInputProxy,popularity,metadata_text_image,armenta_project_input_mlp,adapted,2808,1559,11672.2261,29310.7294,0.3794,0.8287,0.6243,1.0271,.exp/baseline/results/v2_01_2,0.6955,0.4213,
v2,C1-Armenta-ProjectInputProxy,meanScore,metadata_text_image,armenta_project_input_mlp,adapted,2808,1559,9.2523,11.5823,-0.1983,0.4307,0.4425,,.exp/baseline/results/v2_01_2,,,0.6111
v2,C2-ProjectInputCrossAttention,popularity,metadata_text_image,project_input_cross_attention,adapted,2808,1559,11044.714,28422.3552,0.4165,0.8473,0.6526,0.9887,.exp/baseline/results/v2_01_3,0.7207,0.4313,
v2,C2-ProjectInputCrossAttention,meanScore,metadata_text_image,project_input_cross_attention,adapted,2808,1559,8.4384,10.5345,0.0087,0.4837,0.4969,,.exp/baseline/results/v2_01_3,,,0.6556
v2,C2-ProjectInputRecurrentFusion,popularity,metadata_text_image,project_input_recurrent_fusion,adapted,2808,1559,11302.3265,28605.0636,0.409,0.8479,0.6455,0.994,.exp/baseline/results/v2_01_4,0.7188,0.4313,
v2,C2-ProjectInputRecurrentFusion,meanScore,metadata_text_image,project_input_recurrent_fusion,adapted,2808,1559,8.9897,11.2596,-0.1324,0.4373,0.4512,,.exp/baseline/results/v2_01_4,,,0.6204
