baseline_id,target,route,feature_set,model,reference,reproduction_level,source_run,n_train,n_features,n_val,n_test,val_MAE,val_RMSE,val_R2,val_Spearman_rho,val_Pearson_r,val_log_MAE,test_MAE,test_RMSE,test_R2,test_Spearman_rho,test_Pearson_r,test_log_MAE,status
F0-Mean,popularity,0_lowest_reference,none,mean,common baseline,common,.exp/baseline/results/05,9583,0,2918,3087,17260.6441,46575.6137,-0.1260,0.0000,0.0000,1.9788,15034.3970,38157.8006,-0.1368,0.0000,0.0000,2.0472,ok
F0-Mean,meanScore,0_lowest_reference,none,mean,common baseline,common,.exp/baseline/results/05,9583,0,2918,3087,9.7643,11.9451,-0.0486,0.0000,0.0000,,10.4094,12.5178,-0.3536,0.0000,0.0000,,ok
F0-Ridge-Meta,popularity,0_lowest_reference,metadata,ridge,common baseline,common,.exp/baseline/results/05,9583,151,2918,3087,17360.1800,75200.0742,-1.9352,0.8258,0.5590,0.9985,15222.9838,64092.4677,-2.2072,0.7995,0.5033,1.1095,ok
F0-Ridge-Meta,meanScore,0_lowest_reference,metadata,ridge,common baseline,common,.exp/baseline/results/05,9583,151,2918,3087,7.8336,9.8692,0.2842,0.5733,0.5875,,8.5854,10.7187,0.0075,0.5084,0.5164,,ok
F1-RF-Meta,popularity,1_1_metadata_only_classical_ml,metadata,random_forest,Lo & Syu 2023,adapted,.exp/baseline/results/05,9583,151,2918,3087,9078.1028,26645.0274,0.6315,0.8425,0.8218,0.8621,8590.0532,23162.0962,0.5811,0.8466,0.7677,0.8914,ok
F1-RF-Meta,meanScore,1_1_metadata_only_classical_ml,metadata,random_forest,Lo & Syu 2023,adapted,.exp/baseline/results/05,9583,151,2918,3087,7.1014,9.1153,0.3893,0.6308,0.6496,,7.9541,10.0367,0.1298,0.5836,0.5941,,ok
F1-GB-Meta,popularity,1_1_metadata_only_classical_ml,metadata,gradient_boosting,Lo & Syu 2023 + gradient boosting adaptation,adapted,.exp/baseline/results/05,9583,151,2918,3087,10192.1315,29550.5802,0.5468,0.8433,0.7649,0.9014,8917.8924,25429.0605,0.4951,0.8367,0.7161,0.8825,ok
F1-GB-Meta,meanScore,1_1_metadata_only_classical_ml,metadata,gradient_boosting,Lo & Syu 2023 + gradient boosting adaptation,adapted,.exp/baseline/results/05,9583,151,2918,3087,7.5726,9.5770,0.3259,0.6037,0.6233,,8.7243,10.9029,-0.0269,0.5380,0.5471,,ok
F2-XGB-Concat,popularity,1_2_feature_concat_classical_ml,metadata_text_image,xgboost,Chen et al. 2019; Jeong et al. 2024,adapted,.exp/baseline/results/14,9205,1559,2637,2808,11174.4200,30862.0342,0.5459,0.8638,0.7944,0.8489,9588.2590,25793.2115,0.5194,0.8575,0.7299,0.9032,ok
F2-XGB-Concat,meanScore,1_2_feature_concat_classical_ml,metadata_text_image,xgboost,Chen et al. 2019; Jeong et al. 2024,adapted,.exp/baseline/results/14,9205,1559,2637,2808,7.2980,9.2489,0.3102,0.5912,0.6193,,8.3391,10.4780,0.0193,0.5292,0.5466,,ok
C1-Armenta-MLP,popularity,2_1_anime_domain_deep_fusion,metadata_text_image,mlp,Armenta-Segura & Sidorov 2025,adapted,.exp/baseline/results/15,9205,1559,2637,2808,14381.4662,45994.0878,-0.0086,0.8232,0.5645,1.0124,15352.2529,52370.3640,-0.9811,0.8250,0.4564,1.1445,ok
C1-Armenta-MLP,meanScore,2_1_anime_domain_deep_fusion,metadata_text_image,mlp,Armenta-Segura & Sidorov 2025,adapted,.exp/baseline/results/15,9205,1559,2637,2808,8.0859,10.1009,0.1772,0.5195,0.5389,,9.0610,11.1842,-0.1173,0.4494,0.4663,,ok
T2-XGB-TextEmb,popularity,1_3_text_only_baseline,text_embedding,xgboost,Anime synopsis traditional classifiers + text embedding adaptation,adapted,.exp/baseline/results/16,9205,384,2637,2808,17550.6002,46567.8668,-0.0339,0.6781,0.4632,1.3729,14908.8897,37489.3538,-0.0152,0.6488,0.4342,1.4747,ok
T2-XGB-TextEmb,meanScore,1_3_text_only_baseline,text_embedding,xgboost,Anime synopsis traditional classifiers + text embedding adaptation,adapted,.exp/baseline/results/16,9205,384,2637,2808,9.1813,11.2312,-0.0172,0.3383,0.3471,,10.3206,12.4503,-0.3846,0.2427,0.2487,,ok
I1-XGB-ImageEmb,popularity,1_4_image_only_baseline,image_embedding,xgboost,"Zhou, Zhang & Yi 2019",adapted,.exp/baseline/results/17,9583,1024,2918,3087,16316.2624,44239.6836,-0.0158,0.6031,0.3396,1.5797,13815.0865,35505.1120,0.0158,0.6046,0.3868,1.6357,ok
I1-XGB-ImageEmb,meanScore,1_4_image_only_baseline,image_embedding,xgboost,"Zhou, Zhang & Yi 2019",adapted,.exp/baseline/results/17,9583,1024,2918,3087,8.8129,10.9608,0.1171,0.3707,0.3785,,9.4042,11.5672,-0.1559,0.2918,0.3069,,ok
C2-CTNN-Lite,popularity,2_2_cross_modal_transformer_fusion,text_image,cross_modal_transformer,"Madongo, Tang & Hassan 2023",adapted,.exp/baseline/results/18,9205,1408,2637,2808,16143.3992,41936.9741,0.1615,0.7611,0.5047,1.1697,13764.4086,33865.2512,0.1716,0.7410,0.4518,1.2532,ok
C2-CTNN-Lite,meanScore,2_2_cross_modal_transformer_fusion,text_image,cross_modal_transformer,"Madongo, Tang & Hassan 2023",adapted,.exp/baseline/results/18,9205,1408,2637,2808,8.6158,10.8233,0.0553,0.4250,0.4381,,9.5102,11.8779,-0.2602,0.3107,0.3320,,ok
