id,title_romaji,title_english,title_native,description,voice_actor_names,format,episodes,duration,meanScore,popularity,source,countryOfOrigin,isAdult,startDate_month,startDate_day,genres,studios,is_sequel,has_sequel,prequel_count,prequel_popularity_mean,prequel_meanScore_mean,release_year,release_quarter
1497,Aru Machi Kado no Monogatari,Tales of the Street Corner,ある街角の物語,"The scene is set with a poster on a street corner, a girl who cherishes her teddy bear, a street lamp and a playful moth that is drawn to the lamp. These creatures and inanimate objects, each with their own dramas, get involved in a war and the story ends in a tragic climax. This is a private animated piece that expresses feelings rather than telling a story. It can be said that Tezuka Osamu, frustrated with working for big companies, made an attempt here to depict what he really wanted in his animation. This work illustrates that even a poster on the wall can have a vivid drama behind it, and brings the magic of animation alive for us.",,MOVIE,1.0,38.0,63,2130.0,ORIGINAL,JP,False,11.0,5.0,"[""Drama"", ""Fantasy"", ""Music"", ""Romance""]","[{""id"": 3736, ""isMain"": false, ""node"": {""id"": 68, ""name"": ""Mushi Production"", ""isAnimationStudio"": true}}]",False,False,0,0.0,0.0,1962,4
1547,Obake no Q-tarou,Obake no Q-tarou,オバQ; オバケのＱ太郎,"Q-taro, a monster, is living with the Ohara family. He can fly and make his body transparent, but he cannot turn his body into other things like other monsters do. He is a scattered mind, and he always makes mistakes and causes trouble.<br><br>
(Source: AnimeNfo)",Machiko Soga,TV,96.0,25.0,64,432.0,MANGA,JP,False,8.0,29.0,"[""Comedy""]","[{""id"": 3849, ""isMain"": false, ""node"": {""id"": 247, ""name"": ""Shin-Ei Animation"", ""isAnimationStudio"": true}}, {""id"": 27201, ""isMain"": false, ""node"": {""id"": 65, ""name"": ""Tokyo Movie Shinsha"", ""isAnimationStudio"": true}}]",False,True,0,0.0,0.0,1965,3
1572,Jungle Taitei,Kimba the White Lion,ジャングル大帝,"The series follows the adventures Leo, a young lion cub. Leo becomes king of the jungle when his father, the previous king of the jungle is killed by a human hunter.<br><br>(Source: Anime News Network)",Cristina Hernández|Billie Lou Watt|Yoshiko Oota|Úrsula Bezerra|Rodrigo Ribeiro|Bruno Carnevale|Eleu Salvador|Kinto Tamura,TV,52.0,23.0,63,2560.0,MANGA,JP,False,10.0,6.0,"[""Adventure""]","[{""id"": 3921, ""isMain"": true, ""node"": {""id"": 68, ""name"": ""Mushi Production"", ""isAnimationStudio"": true}}, {""id"": 3922, ""isMain"": false, ""node"": {""id"": 217, ""name"": ""The Right Stuf International"", ""isAnimationStudio"": false}}, {""id"": 3923, ""isMain"": false, ""node"": {""id"": 250, ""name"": ""Media Blasters"", ""isAnimationStudio"": false}}]",False,True,0,0.0,0.0,1965,4
1982,Osu,Male,おす,"A cat just wants some alone time with his girl, but is interrupted by his stressed owner. Can't those stupid humans just keep things like relationships simple?",,MOVIE,1.0,3.0,46,1362.0,ORIGINAL,JP,False,11.0,5.0,"[""Slice of Life""]","[{""id"": 4672, ""isMain"": false, ""node"": {""id"": 68, ""name"": ""Mushi Production"", ""isAnimationStudio"": true}}]",False,False,0,0.0,0.0,1962,4
1984,Memory,Memory,めもりい,"This is a short, privately produced animated film. While elucidating the mystery and fuzziness as well as merits and demerits of memory in idealizing reality, the story develops into a tale of destruction of human beings, turning the existence of the earth into a memory of the universe. The production, only 5 minutes long, greatly helps expand the viewer's imagination, embodying the enchantment of animation.<br><br>
(Source: AniDB)",,MOVIE,1.0,5.0,55,1202.0,ORIGINAL,JP,False,9.0,21.0,"[""Mystery""]","[{""id"": 4675, ""isMain"": false, ""node"": {""id"": 68, ""name"": ""Mushi Production"", ""isAnimationStudio"": true}}]",False,False,0,0.0,0.0,1964,4
1989,Shizuku,The Drop,しずく,"A man trapped on a raft in the middle of the ocean is in desperate need of water. Luckily for him, a few drops of rain water are about to fall from the raft's mast. Comedy ensues as the thirsty man attempts to drink the few small drops of water.
<br><br>
(Source: Anime News Network)",,MOVIE,1.0,4.0,51,1037.0,ORIGINAL,JP,False,10.0,1.0,"[""Comedy""]","[{""id"": 4679, ""isMain"": false, ""node"": {""id"": 68, ""name"": ""Mushi Production"", ""isAnimationStudio"": true}}]",False,False,0,0.0,0.0,1965,4
2047,Ningyo,Mermaid,人魚,"In a fictional place where using the imagination is banned, a boy saves a fish, which surprises everyone by turning into a mermaid. The boy is arrested for imagining this ""nonsense"", and is robbed of his imagination as punishment.
<br><br>
(Source: Anime News Network)",,MOVIE,1.0,8.0,58,1538.0,UNKNOWN_SOURCE,JP,False,9.0,21.0,"[""Fantasy""]","[{""id"": 4778, ""isMain"": false, ""node"": {""id"": 68, ""name"": ""Mushi Production"", ""isAnimationStudio"": true}}]",False,False,0,0.0,0.0,1964,4
2686,Tetsujin 28-gou,Gigantor,鉄人28号,"Dr.Haneda was developing experimental giant robot warriors to fight the allies during the Second World War, but before his creations could see action, Allied bombs destroyed the facility and killed him. A decade later criminals discovered two of the surviving prototypes, #26 and 27 in the series, and used the remote controlled robots to commit a number of crimes. Young Shotaro Haneda, the twelve year old son of Dr.Haneda, did some investigating and discovered that the mob were hunting for the twenty-eighth robot in the series, rumoured to be the most powerful of them all. Racing the villains, Shotaro discovers the robot first, along with Dr.Shikashima, a colleague of his father's who was also believed killed by the Allied bombing. Together the two prevent Tetusjin-28 (the robot's official designation) from falling into the hands of the bad guys, and decide to dedicate him to peace rather than war.<br><br>
Shotaro fought crime for a long time, supported by Dr.Shikashima, who would repair Tetsujin-28 when he was damaged, and by police officer Otsuka. Shotaro even battled the alien Magmans, invaders from the planet Magma, who came to Earth late in his career, bringing their own giant robots, Magma X and Gold Wolf, with them.",Shirou Kuno|Toshio Andou|Peter Fernandez|Yuzuru Fujimoto|Fuyumi Shiraishi|Gilbert Mack|Won-Il Son|Kazue Takahashi|Billie Lou Watt|Kousei Tomita|Ray Owens|Orlando Drummond|Minoru Yada|Yoshihisa Kamo,TV,83.0,25.0,61,1525.0,MANGA,JP,False,10.0,20.0,"[""Adventure"", ""Mecha"", ""Sci-Fi""]","[{""id"": 9260, ""isMain"": true, ""node"": {""id"": 191, ""name"": ""Eiken"", ""isAnimationStudio"": false}}, {""id"": 26030, ""isMain"": false, ""node"": {""id"": 53, ""name"": ""Dentsu"", ""isAnimationStudio"": false}}, {""id"": 26031, ""isMain"": false, ""node"": {""id"": 489, ""name"": ""TCJ"", ""isAnimationStudio"": false}}, {""id"": 26780, ""isMain"": false, ""node"": {""id"": 6870, ""name"": ""Ezaki Glico"", ""isAnimationStudio"": false}}]",False,True,0,0.0,0.0,1963,4
2747,Tetsuwan Atom,Astro Boy,鉄腕アトム,"In the distant year 2003, Japan is a technological utopia, and robots are everywhere. One such robot, Tobio, was built by the brilliant Dr. Tenma to replace his dead son. But when it soon becomes apparent that Tobio is an imperfect copy of his departed child, Dr. Tenma throws him out. He is rescued from the scrap heap by the benevolent Professor Ochanomizu, a crusader for robot civil rights. Now the little robot, renamed Astro Boy, is given a mission to defend Japan and the world from all manner of sinister threats. Using his seven super-abilities and 100,000 horsepower worth of strength to battle evil, Astro hopes to set an example to the world of the good which all robots are capable of. ",Mari Shimizu|Billie Lou Watt|Reiko Mutou|Hisashi Yokomori|Hisashi Katsuta|Ray Owens|Shingo Kanemoto|Kouichi Chiba|Tasio Alonso|Gilbert Mack|Katsuji Mori|Il Kim,TV,104.0,26.0,66,4290.0,MANGA,JP,False,1.0,1.0,"[""Action"", ""Adventure"", ""Drama"", ""Mecha"", ""Sci-Fi""]","[{""id"": 5839, ""isMain"": true, ""node"": {""id"": 68, ""name"": ""Mushi Production"", ""isAnimationStudio"": true}}]",True,False,1,8689.0,65.0,1963,1
2765,Momotarou: Umi no Shinpei,"Momotaro, Sacred Sailors",桃太郎　海の神兵,"Like the prior film, the movie features the ""Peach Boy"" character of Japanese folklore. The film is about the surprise maneuver on Sulawesi island, depicting parachute troops' actions. The whole movie also depicts how Japan ""liberates Asia"", as proclaimed by the Government at the time.<br><br>
There are some musical scenes. Of note is The Song of AIUEO (&#12450;&#12452;&#12454;&#12456;&#12458;&#12398;&#27468;, AIUEO no Uta), a scene where Japanese soldiers teach local animals how to speak.<br><br>
(Source: Wikipedia)",,MOVIE,1.0,74.0,46,1272.0,ORIGINAL,JP,False,4.0,12.0,"[""Action""]","[{""id"": 5864, ""isMain"": false, ""node"": {""id"": 109, ""name"": ""Shouchiku"", ""isAnimationStudio"": false}}]",True,False,1,859.0,43.0,1945,2
